id;start_date;end_date;language
1;2020-05-21T04:52:53;2020-05-21T02:43:08;SPANISH
2;2020-05-20T09:43:04;2020-05-21T04:47:29;SPANISH
3;2020-05-21T00:38:23;2020-05-20T11:12:32;FRENCH
4;2020-05-20T15:55:54;2020-05-21T03:27:20;FRENCH
5;2020-05-21T01:26:12;2020-05-21T06:13:11;FRENCH
6;2020-05-20T19:18:33;2020-05-21T07:26:47;FRENCH
7;2020-05-20T21:03:53;2020-05-20T14:54:44;FRENCH
8;2020-05-20T20:00:06;2020-05-21T06:16:14;SPANISH
9;2020-05-20T18:41:15;2020-05-20T15:22:38;SPANISH
10;2020-05-21T02:53:19;2020-05-20T13:27:49;SPANISH
